City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
390,jamestown,US,42.097,-79.2353,53.24,35.0,0.0,9.22,clear sky
391,winnemucca,US,40.973,-117.7357,60.85,44.0,100.0,5.75,overcast clouds
392,ichnya,UA,50.8626,32.3942,39.97,84.0,8.0,5.12,clear sky
395,itaueira,BR,-7.6033,-43.0256,76.24,57.0,47.0,9.33,scattered clouds
396,shetpe,KZ,44.1667,52.1167,54.5,80.0,21.0,14.97,few clouds
397,olafsvik,IS,64.8945,-23.7142,43.92,88.0,100.0,14.83,overcast clouds
398,mbumi,TZ,-7.9058,39.2105,71.04,97.0,96.0,3.56,overcast clouds
399,flinders,AU,-34.5833,150.8552,67.28,44.0,6.0,3.56,clear sky
400,albion,US,42.2431,-84.753,55.35,46.0,75.0,12.66,broken clouds
401,bridgend,GB,51.5058,-3.5772,50.22,92.0,100.0,1.99,moderate rain
402,cabo san lucas,MX,22.8909,-109.9124,81.7,40.0,20.0,10.36,few clouds
403,cradock,ZA,-32.1642,25.6192,49.86,64.0,16.0,0.67,few clouds
404,vanino,RU,49.0869,140.2543,38.62,73.0,93.0,8.19,overcast clouds
405,gagnoa,CI,6.1293,-5.9437,72.03,97.0,100.0,1.28,overcast clouds
407,pafos,CY,34.7667,32.4167,65.98,82.0,100.0,16.11,overcast clouds
408,fomboni,KM,-12.28,43.7425,80.58,78.0,100.0,11.9,heavy intensity rain
409,meulaboh,ID,4.1363,96.1285,82.49,80.0,100.0,1.05,overcast clouds
411,kavieng,PG,-2.5744,150.7967,83.14,72.0,92.0,3.89,light rain
412,bollnas,SE,61.3482,16.3946,32.63,84.0,5.0,3.76,clear sky
413,saint-paul,RE,-21.0096,55.2707,75.31,79.0,6.0,2.91,clear sky
414,talavera,PH,15.6167,120.9333,96.84,32.0,95.0,7.87,overcast clouds
415,namibe,AO,-15.1961,12.1522,74.59,85.0,86.0,4.0,overcast clouds
416,kloulklubed,PW,7.0419,134.2556,81.1,76.0,90.0,12.17,overcast clouds
